ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,RECONSTRUCTION_COST,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
ITA,Italy,299,299,368,,,,,,,5000000000,,,USD,,,NOAA,
ITA,Italy,296,296,400,4454,,,,,,5000000000,5645000000,75000000,USD,,,EMDAT,
ITA,Italy,296,296,386,4800,,,,,,24300000000,,,EUR,,,Protezione Civile,
