FIELD,DESCRIPTION
Year,1989
Country,Australia
Region,Oceania
Event Name,Newcastle
Local Date,28/12/1989
Local Time,10:27:00
Longitude (decimal degrees),151.619
Latitude (decimal degrees),-32.967
Depth (km),10
Mw,5.4
Max Intensity (MMI),VIII
Fault mechanism,Thrust/reverse 
Tectonic region type,Stable Continental Regions (SCRs) 
Fatalities,12
Injured,160
Damaged units,10000
Collapsed units,~300
Economic losses,1000 M USD
Insured losses,400 M USD
USGS event ID,usp00043na
Wikipedia page,https://en.wikipedia.org/wiki/1989 Newcastle earthquake
