ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,ID_4,NAME_4,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,COMMENTS,REFERENCE
,,,,,,,Abbassabad,2,2,,,,,,Berberian_1979_b
,,,,,,,Allahabad,16,16,,,,,,Berberian_1979_b
,,,,,,,Baghamza,15,15,,,,,,Berberian_1979_b
,,,,,,,Baghestan-e-Korit,300,300,,,,,,Berberian_1979_b
,,,,,,,Bazg,45,45,,,,,,Berberian_1979_b
,,,,,,,Chiruk,17,17,,,,,,Berberian_1979_b
,,,,,,,Dasht-e-Gharan,300,300,,,,,,Berberian_1979_b
,,,,,,,Dehno Fatemeh Barat,33,33,,,,,,Berberian_1979_b
,,,,,,,Dehshib,2,2,,,,,,Berberian_1979_b
,,,,,,,Diheshk (Dehestak),2000,2000,,,,,,Berberian_1979_b
,,,,,,,Dihuk,15,15,,,,,,Berberian_1979_b
,,,,,,,Ebrahimabad,100,100,,,,,,Berberian_1979_b
,,,,,,,Esfahk,102,102,,,,,,Berberian_1979_b
,,,,,,,Fahalanj,2500,2500,,,,,,Berberian_1979_b
,,,,,,,Jamz,22,22,,,,,,Berberian_1979_b
,,,,,,,Jafari,44,44,,,,,,Berberian_1979_b
,,,,,,,Javadieh,2,2,,,,,,Berberian_1979_b
,,,,,,,Jokhah (Chahar Deh),9,9,,,,,,Berberian_1979_b
,,,,,,,Kalateh,8,8,,,,,,Berberian_1979_b
,,,,,,,Khanik,1,1,,,,,,Berberian_1979_b
,,,,,,,Khorovan Sofia,2,2,,,,,,Berberian_1979_b
,,,,,,,Kharv,2,2,,,,,,Berberian_1979_b
,,,,,,,Khosrowabad,500,500,,,,,,Berberian_1979_b
,,,,,,,Korond,7,7,,,,,,Berberian_1979_b
,,,,,,,Korit,2000,2000,,,,,,Berberian_1979_b
,,,,,,,Mir Omatu,80,80,,,,,,Berberian_1979_b
,,,,,,,Mowdar,2,2,,,,,,Berberian_1979_b
,,,,,,,Peykuh,36,36,,,,,,Berberian_1979_b
,,,,,,,Posha-e-Bozorg,5,5,,,,,,Berberian_1979_b
,,,,,,,Raqeh,8,8,,,,,,Berberian_1979_b
,,,,,,,Shahzedhali,2,2,,,,,,Berberian_1979_b
,,,,,,,Shirabad,2,2,,,,,,Berberian_1979_b
,,,,,,,Sorond,3,3,,,,,,Berberian_1979_b
,,,,,,,Tabas-e-Golshan,11000,11000,,,,,,Berberian_1979_b
,,,,,,,Targhinan,2,2,,,,,,Berberian_1979_b
,,,,,,,Tashkanan,27,27,,,,,,Berberian_1979_b
,,,,,,,Yegin,1,1,,,,,,Berberian_1979_b
,,,,,,,Zerk,4,4,,,,,,Berberian_1979_b
