ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,RECONSTRUCTION_COST,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS,
NLD,Netherlands,1,,45,,,,,,,100000000,,,USD,,,NOAA,"One person died of a heart attack at Bonn, Germany.",
NLD,Netherlands,1,,45,,1500,,,,,50000000,,,USD,,,EM-DAT,,
NLD,Netherlands,1,,46,,,,150,,Buildings,,,,,,,News,https://www.latimes.com/archives/la-xpm-1992-04-14-mn-161-story.html,"Heinsberg appeared to have the most quake-related injuries--25, three of whom were hospitalized, police spokesman Juergen Tomalla said. About 150 buildings and 120 cars were damaged in the city, he said."
