custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
s_0,141.0217,38.7292,395,0,117.9956366,0.29237089
s_1,141.0193,38.3175,396,0,117.2497011,0.291557376
s_2,140.6453,36.5914,447,0,84.84969814,0.25512043
s_3,140.9286,38.2661,164,0,441.7464091,0.770240247
s_4,140.4892,36.1587,254,0,279.4887446,0.475617004
s_5,140.191,37.1232,511,0,56.79664388,0.220142704
s_6,140.4102,36.5516,282,0,237.5975634,0.423847486
s_7,140.1804,36.5428,384,0,126.5140312,0.301613738
s_8,140.0751,36.548,287,0,230.6499702,0.415717473
s_9,139.7159,36.7261,430,0,94.49683517,0.266257525
s_10,141.0018,37.2338,277,0,244.7079635,0.432286251
s_11,140.3619,37.3959,382,0,128.1259343,0.303354403
s_12,140.093,37.1616,413,0,105.2598085,0.27836022
s_13,140.2246,35.7237,249,0,287.4900586,0.486152416
s_14,140.567,37.4343,641,0,26.03380328,0.171485175
s_15,141.1173,38.9334,466,0,75.2582782,0.243681662
s_16,140.2373,36.3851,347,0,159.7184845,0.337241527
s_17,141.5079,38.302,439,0,89.25738621,0.260248495
s_18,140.8924,37.9411,368,0,139.9766172,0.316096606
s_19,140.7227,37.4703,776,0,12.3629869,0.138917357
s_20,140.1781,36.7342,494,0,63.13536945,0.228505696
s_21,140.1401,36.3701,348,0,158.7223747,0.336173752
s_22,140.6344,37.2796,641,0,26.03380328,0.171485175
s_23,140.4528,36.369,225,0,327.9339623,0.543599431
s_24,141.3116,38.7349,469,0,73.84997864,0.241964502
s_25,140.3013,36.5566,334,0,173.1992897,0.351734948
s_26,141.532,39.0307,776,0,12.3629869,0.138917357
s_27,140.9853,37.6389,264,0,263.952376,0.455802393
s_28,141.8567,39.2699,776,0,12.3629869,0.138917357
s_29,140.9632,37.4061,393,0,119.5015271,0.294010972
s_30,140.3689,37.2844,331,0,176.4530334,0.355249667
s_31,140.9871,37.4911,265,0,262.4334928,0.453907308
s_32,140.6544,36.8808,776,0,12.3629869,0.138917357
s_33,141.511,38.7261,401,0,113.5891783,0.287553746
s_34,141.3512,38.8654,365,0,142.6489832,0.318960859
s_35,141.251,38.5877,397,0,116.5084073,0.29074817
s_36,140.6306,35.9766,272,0,251.9806957,0.441051391
s_37,140.9192,37.7946,250,0,285.8775696,0.484009893
s_38,140.3181,36.8369,443,0,87.02492123,0.25766013
s_39,140.0225,36.8578,343,0,163.7607167,0.341578092
s_40,140.6198,36.3631,242,0,298.9456253,0.501671692
s_41,141.1388,39.3206,241,0,300.6057962,0.503966127
s_42,140.7073,36.7126,302,0,210.7833575,0.393021653
s_43,141.3826,39.825,506,0,58.58757299,0.222541115
s_44,140.3976,36.6405,641,0,26.03380328,0.171485175
s_45,140.538,37.4894,776,0,12.3629869,0.138917357
s_46,140.9654,38.5801,216,0,343.8960842,0.568612097
s_47,141.4053,39.019,776,0,12.3629869,0.138917357
s_48,140.7342,37.6798,465,0,75.73390764,0.244259225
s_49,140.6008,37.8453,179,0,412.8958685,0.699423288
s_50,140.575,36.7955,776,0,12.3629869,0.138917357
s_51,141.3254,38.786,457,0,79.65327927,0.248975421
s_52,140.8871,38.4466,294,0,221.1969847,0.404823178
s_53,140.5954,36.3526,259,0,271.6420026,0.465508686
