FIELD,DESCRIPTION
Year,2012
Country,Italy
Region,Europe
Event Name,EmiliaRomagna 2012
Local Date,20/05/2012
Local Time,04:03:52
Latitude (decimal degrees),44.89
Longitude (decimal degrees),11.23
Depth (km),6.3
Mw,6
Max Intensity (MMI),VIII
Fault mechanism,Inverse
Tectonic region type,Active Shallow Crust
Fatalities,26-28
Injured,300-350
Displaced population,~15000
Affected population,11000-45000
Affected units,
Damaged units,12000-16500 Buildings
Collapsed units,
Economic losses,15800 M USD
Insured losses,1300 M USD
Earthquake-triggered effects,Liquefaction
USGS event ID,usp000jkn8
Wikipedia page,https://en.wikipedia.org/wiki/2012 Northern Italy earthquakes
