custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
m_0,135.1667,34.6833,326.4,0,181.5483078,0.36077087
m_1,135.1167,34.65,775.5,0,12.39553562,0.139016062
m_2,135.1667,34.6667,187,0,397.6304876,0.666522291
m_3,135.2,34.6833,199.1,0,374.8463885,0.622024656
m_4,135.3333,34.7167,187,0,397.6304876,0.666522291
m_5,135.15,34.6667,311.2,0,199.3176059,0.380237112
m_6,135.19,34.67,220.1,0,336.5752691,0.556950812
m_7,135.2167,34.7,315.9,0,193.6683561,0.374007612
m_8,135.2667,34.7167,316.2,0,193.3125059,0.37361659
m_9,134.9833,34.6333,600,0,33.08965542,0.184442691
m_10,134.95,34.48,775.5,0,12.39553562,0.139016062
m_11,135.3167,34.7333,316,0,193.5496764,0.373877184
m_12,135.35,34.8,316,0,193.5496764,0.373877184
m_13,134.95,34.55,775.5,0,12.39553562,0.139016062
m_14,135.4167,34.7167,170.5,0,429.2247138,0.737944768
s_15,135.18,34.6833,314.7,0,195.0974319,0.375579533
m_16,135.4167,34.7667,292.9,0,222.6613312,0.406498906
m_17,135.4167,34.8167,302.6,0,210.0190235,0.392162962
m_18,135.2333,34.8833,401.1,0,113.5171312,0.287474743
s_19,135.344,34.809,775.5,0,12.39553562,0.139016062
m_20,134.8333,34.3333,775.5,0,12.39553562,0.139016062
s_21,135.139,34.649,316.4,0,193.0755872,0.373356342
s_22,134.964,34.664,299.3,0,214.2516222,0.396930551
m_23,135.05,34.6333,411.4,0,106.334203,0.279553468
m_24,135.03,34.71,367.7,0,140.2416979,0.316380821
s_25,135.408,34.718,173.4,0,423.6449753,0.724355943
s_26,134.843,34.764,271.6,0,252.5695037,0.44176726
m_27,135.5,34.6667,260.2,0,269.7820782,0.463143414
s_28,135.408,34.48,272.9,0,250.6596574,0.439448749
m_29,135.75,35,313.9,0,196.0552013,0.376634499
s_30,135.5,34.69,162.6,0,444.4438074,0.77755173
s_31,135.519,34.636,274.8,0,247.8880086,0.436101614
m_32,134.8333,35.5333,162.6,0,444.4438074,0.77755173
m_33,136.25,35.25,180.2,0,410.5983112,0.694292308
m_34,135.18,34.78,775.5,0,12.39553562,0.139016062
s_35,135.474,34.687,162.6,0,444.4438074,0.77755173
s_36,135.572,34.68,147.4,0,473.6167142,0.86636301
m_37,132.1833,34.15,431.4,0,93.66168292,0.265305476
s_38,135.612,34.68,153.2,0,462.522249,0.830288398
s_39,135.469,34.564,260.2,0,269.7820782,0.463143414
s_40,136.247,35.2733,182.1,0,406.9656178,0.686313542
m_41,135.8333,34.6833,355.2,0,151.7184863,0.328672168
m_42,135.09,34.0903,600,0,33.08965542,0.184442691
m_43,134.05,34.3333,207.5,0,359.3170507,0.59433346
m_44,133.9167,34.65,195.9,0,380.8289052,0.633231018
s_45,135.659,34.439,775.5,0,12.39553562,0.139016062
m_46,133.5,33.75,775.5,0,12.39553562,0.139016062
s_47,133.92,34.66,207.5,0,359.3170507,0.59433346
s_48,135.52,34.6783,260.2,0,269.7820782,0.463143414
s_49,134.24,35.485,202.8,0,367.9733358,0.609530226
s_50,135.32,35.448,503.38,0,59.5499448,0.223817883
s_51,136.227,36.0533,159.8,0,449.8364721,0.792578929
s_52,135.201,34.67,220,0,336.7528649,0.5572298
s_53,135.24,34.725,776,0,12.3629869,0.138917357
