ID_1,NAME_1,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS1_SLIGHT,DS2_MODERATE,LIGHT_DAMAGE,DS3_EXTENSIVE,MEDIUM_DAMAGE,DS4_COMPLETE,HEAVY_DAMAGE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
5,Paphos,,,,3500,,1700,1700,1300,1300,500,500,,Buildings,,Kalogeras et al. (1999),
2,Limassol,,,,5000,,3000,3000,1500,1500,500,500,,Buildings,,Kalogeras et al. (1999),
3,Larnaka,,,,400,,300,300,90,90,10,10,,Buildings,,Kalogeras et al. (1999),
1,Nicosia,,,,700,,400,400,250,250,50,50,,Buildings,,Kalogeras et al. (1999),
4,Famagusta,,,,1,,,,1,1,,,,Buildings,,Kalogeras et al. (1999),
