FIELD,DESCRIPTION
Year,2004
Country,Italy
Region,Europe
Event Name,Gardone 2004
Local Date,24/11/2004
Local Time,23:59:40
Latitude (decimal degrees),45.626
Longitude (decimal degrees),10.559
Depth (km),17.2
Mw,5.1
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Active Shallow Crust
Fatalities,0
Injured,5-9
Displaced population,2200-2300
Affected population,
Affected units,
Damaged units,3700-4150 Buildings
Collapsed units,
Economic losses,215 M EUR
Insured losses,
Earthquake-triggered effects,Landslides
USGS event ID,usp000d94j
Wikipedia page,https://en.wikipedia.org/wiki/List of earthquakes in 2004
