STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
MRN,MIRANDOLA (NAPOLI),44.878231,11.061743,seismic,INGV,C,0.297304199,0,0.831707463,0,0.589859971,0,0.546476991,0,208,C,,,,,,
NVL,NOVELLARA,44.843001,10.731506,seismic,INGV,C,0.051205727,0,0.124855904,0,0.046365553,0,0.028443352,0,190,C,,,,,,
MODE,MODENA,44.629722,10.949167,seismic,INGV,C,0.041851208,0,0.073479872,0,0.085823629,0,0.085762946,0,204,C,,,,,,
SRP,SORBOLO (PEZZANI),44.848398,10.446963,seismic,INGV,C,0.040739094,0,0.08749979,0,0.093295124,0,0.034039375,0,218,C,,,,,,
MDC,MEDICINA,44.48556,11.640462,seismic,INGV,C (inferred from geology),0.038848148,0,0.087704747,0,0.111608629,0,0.0462699,0,,C (inferred from geology),,,,,,
MDN,MODENA,44.646988,10.889912,seismic,INGV,C,0.036245735,0,0.076439972,0,0.080160391,0,0.062560653,0,213,C,,,,,,
CPC,COPPARO (COCCANILE),44.921448,11.875613,seismic,INGV,D,0.033166988,0,0.080345422,0,0.066929839,0,0.046052299,0,174,D,,,,,,
ALF,ALFONSINE,44.502284,12.033444,seismic,INGV,C,0.033053959,0,0.060433328,0,0.109015014,0,0.034446041,0,243,C,,,,,,
ARG,ARGENTA,44.63053,11.82516,seismic,INGV,D,0.023790588,0,0.040699685,0,0.051552541,0,0.023575453,0,170,D,,,,,,
GAI,GAINO  TOSCOLANO MADERNO,45.659275,10.616265,seismic,INGV,C (inferred from geology),0.023735077,0,0.108124974,0,0.016724251,0,0.00515204,0,,C (inferred from geology),,,,,,
