ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,RECONSTRUCTION_COST,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
ITA,Italy,0,0,5,2202,,,4147,,Buildings,215000000,,,EUR,,,"https://www.gardapost.it/2018/11/24/24-novembre-2004-quattordici-anni-fa-il-terremoto-di-salo/#:~:text=Eppure%20i%20danni%20erano%20ingenti,in%20215%20milioni%20di%20euro.",
ITA,Italy,0,0,,2300,,,,,Buildings,215000000,,,EUR,,,Pessina et al. (2013),
ITA,Italy,0,0,,,,,3700,,Buildings,215000000,,,EUR,,,Franceschina et al. (2004),
ITA,Italy,0,0,9,,,,,,,,,,,,,NOAA,
