FIELD,DESCRIPTION
Year,2006
Country,Indonesia
Region,Southeast Asia
Event Name,Yogyakarta
Local Date,27/05/2006
Local Time,05:54:00
Longitude (decimal degrees),110.446
Latitude (decimal degrees),-7.961
Depth (km),12.5
Mw,6.4
Max Intensity (MMI),VIII
Fault mechanism,Strike slip
Tectonic region type,Shallow crustal 
Fatalities,5716
Injured,37927
Displaced population,600000
Damaged units,464522 Buildings
Collapsed units,145929 Buildings
Economic losses,3100 M USD
Insured losses,40 M USD
USGS event ID,usp000ej1c
Wikipedia page,https://en.wikipedia.org/wiki/2006 Yogyakarta earthquake
