ID_2,NAME_2,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,D0,D1,D2,D3,D4,D5,TOTAL,DS1_SLIGHT,DS2_MODERATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,DS5_COLLAPSE,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,
,Camerino,43.13565,3.068325,URM-T,,,,0,19,4,0,1,0,24,19,4,0,1,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Camerino,43.13565,3.068325,URM-RC,,,,0,5,0,0,2,0,7,5,0,0,2,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Camerino,43.13565,3.068325,RC-F,,,,1,3,3,0,0,0,7,3,3,0,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pié del Colle,43.029963,13.175116,URM-T,,,,0,5,2,1,0,1,9,5,2,1,0,1,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pié del Colle,43.029963,13.175116,URM-RC,,,,1,0,1,0,0,0,2,0,1,0,0,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pié del Colle,43.029963,13.175116,RC-F,,,,1,0,2,0,1,0,4,0,2,0,1,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pievebovigliana,43.061457,13.082485,URM-T,,,,0,2,2,2,3,0,9,2,2,2,3,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pievebovigliana,43.061457,13.082485,URM-RC,,,,0,1,1,6,0,0,8,1,1,6,0,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pievebovigliana,43.061457,13.082485,RC-F,,,,0,0,2,2,0,0,4,0,2,2,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,San Severino Marche,43.230415,13.16538,URM-T,,,,0,0,0,0,0,0,0,0,0,0,0,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,San Severino Marche,43.230415,13.16538,URM-RC,,,,0,0,1,0,1,0,2,0,1,0,1,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,San Severino Marche,43.230415,13.16538,RC-F,,,,1,0,5,2,1,1,10,0,5,2,1,1,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Visso,42.929273,13.087669,URM-T,,,,0,0,2,3,5,1,11,0,2,3,5,1,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Visso,42.929273,13.087669,URM-RC,,,,0,0,0,0,1,1,2,0,0,0,1,1,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Visso,42.929273,13.087669,RC-F,,,,0,0,0,3,0,0,3,0,0,3,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
