custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_0,131.39143,31.68349,641,FALSE,26.03380328,0.171485175
t_1,131.33477,31.72399,641,FALSE,26.03380328,0.171485175
t_2,131.3868,31.72796,641,FALSE,26.03380328,0.171485175
t_3,131.43884,31.73191,641,FALSE,26.03380328,0.171485175
t_4,131.3301,31.76846,641,FALSE,26.03380328,0.171485175
t_5,131.38216,31.77244,641,FALSE,26.03380328,0.171485175
t_6,131.43422,31.7764,641,FALSE,26.03380328,0.171485175
t_7,131.2116,31.40079,600,FALSE,33.08965542,0.184442691
t_8,131.15509,31.44123,600,FALSE,33.08965542,0.184442691
t_9,131.20694,31.44525,260,FALSE,270.0914357,0.463536032
t_10,131.2588,31.44924,641,FALSE,26.03380328,0.171485175
t_11,131.31066,31.45321,641,FALSE,26.03380328,0.171485175
t_12,131.1504,31.48568,641,FALSE,26.03380328,0.171485175
t_13,131.20227,31.4897,641,FALSE,26.03380328,0.171485175
t_14,131.25415,31.4937,287,FALSE,230.6499702,0.415717473
t_15,131.10797,31.39276,600,FALSE,33.08965542,0.184442691
t_16,130.99962,31.42907,279,FALSE,241.8442884,0.428872596
t_17,131.05143,31.43314,194,FALSE,384.3966471,0.640068747
t_18,131.10326,31.4372,600,FALSE,33.08965542,0.184442691
t_19,130.99485,31.47349,284,FALSE,234.7989755,0.420559374
t_20,131.04669,31.47758,279,FALSE,241.8442884,0.428872596
t_21,131.09854,31.48164,282,FALSE,237.5975634,0.423847486
t_22,130.99007,31.51792,406,FALSE,110.0417572,0.283653691
t_23,131.04193,31.52201,294,FALSE,221.1969847,0.404823178
t_24,131.0938,31.52608,304,FALSE,208.2445988,0.390173203
t_25,131.30604,31.49768,641,FALSE,26.03380328,0.171485175
t_26,131.19758,31.53415,641,FALSE,26.03380328,0.171485175
t_27,131.24948,31.53816,641,FALSE,26.03380328,0.171485175
t_28,131.3014,31.54214,641,FALSE,26.03380328,0.171485175
t_29,131.19288,31.5786,406,FALSE,110.0417572,0.283653691
t_30,131.24481,31.58262,641,FALSE,26.03380328,0.171485175
t_31,131.29675,31.58661,641,FALSE,26.03380328,0.171485175
t_32,131.18818,31.62305,641,FALSE,26.03380328,0.171485175
t_33,131.24013,31.62707,641,FALSE,26.03380328,0.171485175
t_34,131.29209,31.63107,641,FALSE,26.03380328,0.171485175
t_35,131.14569,31.53012,406,FALSE,110.0417572,0.283653691
t_36,130.98528,31.56234,406,FALSE,110.0417572,0.283653691
t_37,131.03716,31.56644,296,FALSE,218.5546827,0.401809928
t_38,131.08906,31.57051,406,FALSE,110.0417572,0.283653691
t_39,131.14097,31.57457,406,FALSE,110.0417572,0.283653691
t_40,130.98048,31.60676,406,FALSE,110.0417572,0.283653691
t_41,131.03239,31.61087,295,FALSE,219.8725859,0.403311185
t_42,131.08431,31.61495,406,FALSE,110.0417572,0.283653691
t_43,131.13624,31.61901,641,FALSE,26.03380328,0.171485175
t_44,130.97566,31.65118,287,FALSE,230.6499702,0.415717473
t_45,131.35332,31.54611,641,FALSE,26.03380328,0.171485175
t_46,131.3487,31.59058,641,FALSE,26.03380328,0.171485175
t_47,131.34407,31.63505,641,FALSE,26.03380328,0.171485175
t_48,131.39605,31.63901,641,FALSE,26.03380328,0.171485175
t_49,131.33942,31.67952,641,FALSE,26.03380328,0.171485175
t_50,130.81993,31.63873,260,FALSE,270.0914357,0.463536032
t_51,130.87183,31.6429,406,FALSE,110.0417572,0.283653691
t_52,130.92374,31.64705,406,FALSE,110.0417572,0.283653691
t_53,130.81503,31.68313,406,FALSE,110.0417572,0.283653691
t_54,130.86696,31.68731,318,FALSE,191.1892933,0.371286743
t_55,130.91889,31.69146,316,FALSE,193.5496764,0.373877184
t_56,130.97084,31.6956,291,FALSE,225.2091976,0.409424714
t_57,130.81013,31.72752,406,FALSE,110.0417572,0.283653691
t_58,130.86208,31.73171,320,FALSE,188.8540005,0.368730322
t_59,130.91404,31.73588,406,FALSE,110.0417572,0.283653691
t_60,131.0276,31.65529,267,FALSE,259.4148854,0.450161883
t_61,131.07954,31.65938,641,FALSE,26.03380328,0.171485175
t_62,131.1315,31.66345,641,FALSE,26.03380328,0.171485175
t_63,131.0228,31.69972,390,FALSE,121.7957658,0.296504256
t_64,131.07477,31.70382,368,FALSE,139.9766172,0.316096606
t_65,131.12675,31.70789,514,FALSE,55.75018732,0.218727189
t_66,131.01799,31.74415,372,FALSE,136.4875254,0.312353092
t_67,131.06998,31.74825,319,FALSE,190.0185177,0.370004321
t_68,131.12199,31.75233,429,FALSE,95.09800031,0.266941559
t_69,131.01317,31.78857,406,FALSE,110.0417572,0.283653691
t_70,131.18346,31.6675,641,FALSE,26.03380328,0.171485175
t_71,131.23544,31.67153,641,FALSE,26.03380328,0.171485175
t_72,131.28743,31.67554,641,FALSE,26.03380328,0.171485175
t_73,131.17874,31.71195,641,FALSE,26.03380328,0.171485175
t_74,131.23074,31.71598,641,FALSE,26.03380328,0.171485175
t_75,131.28275,31.72,641,FALSE,26.03380328,0.171485175
t_76,131.174,31.7564,641,FALSE,26.03380328,0.171485175
t_77,131.22602,31.76044,641,FALSE,26.03380328,0.171485175
t_78,131.27806,31.76446,641,FALSE,26.03380328,0.171485175
t_79,131.16925,31.80084,414,FALSE,104.5938356,0.277619362
t_80,131.2213,31.80489,641,FALSE,26.03380328,0.171485175
t_81,131.27336,31.80892,641,FALSE,26.03380328,0.171485175
t_82,131.16449,31.84529,641,FALSE,26.03380328,0.171485175
t_83,131.21657,31.84934,641,FALSE,26.03380328,0.171485175
t_84,131.26865,31.85338,299,FALSE,214.6398942,0.397369453
t_85,131.32074,31.85739,302,FALSE,210.7833575,0.393021653
t_86,131.15973,31.88973,641,FALSE,26.03380328,0.171485175
t_87,131.21182,31.89379,641,FALSE,26.03380328,0.171485175
t_88,131.26393,31.89784,641,FALSE,26.03380328,0.171485175
t_89,131.31605,31.90186,429,FALSE,95.09800031,0.266941559
t_90,131.06519,31.79268,391,FALSE,121.0262677,0.295668693
t_91,131.11721,31.79677,354,FALSE,152.8654793,0.329900166
t_92,131.00834,31.833,406,FALSE,110.0417572,0.283653691
t_93,131.06038,31.83711,406,FALSE,110.0417572,0.283653691
t_94,131.11243,31.84121,357,FALSE,150.0130635,0.326846437
t_95,131.0035,31.87742,406,FALSE,110.0417572,0.283653691
t_96,131.05556,31.88154,641,FALSE,26.03380328,0.171485175
t_97,131.10764,31.88565,477,FALSE,70.22748096,0.237496315
t_98,130.99865,31.92184,277,FALSE,244.7079635,0.432286251
t_99,131.05074,31.92597,277,FALSE,244.7079635,0.432286251
t_100,130.41018,31.56027,776,FALSE,12.3629869,0.138917357
t_101,130.30151,31.59587,600,FALSE,33.08965542,0.184442691
t_102,130.3533,31.60025,776,FALSE,12.3629869,0.138917357
t_103,130.40511,31.60461,351,FALSE,155.7683901,0.333008782
t_104,130.29638,31.6402,600,FALSE,33.08965542,0.184442691
t_105,130.3482,31.64458,396,FALSE,117.2497011,0.291557376
t_106,130.40002,31.64895,406,FALSE,110.0417572,0.283653691
t_107,130.45186,31.65329,406,FALSE,110.0417572,0.283653691
t_108,130.29124,31.68452,194,FALSE,384.3966471,0.640068747
t_109,130.34308,31.68891,641,FALSE,26.03380328,0.171485175
t_110,130.50875,31.61326,406,FALSE,110.0417572,0.283653691
t_111,130.56058,31.61756,307,FALSE,204.4846915,0.385973634
t_112,130.61243,31.62183,600,FALSE,33.08965542,0.184442691
t_113,130.50371,31.65762,446,FALSE,85.38821152,0.255750867
t_114,130.55557,31.66192,385,FALSE,125.7154788,0.300750532
t_115,130.60744,31.6662,510,FALSE,57.15010516,0.220618432
t_116,130.49866,31.70197,641,FALSE,26.03380328,0.171485175
t_117,130.55054,31.70628,406,FALSE,110.0417572,0.283653691
t_118,130.60244,31.71057,296,FALSE,218.5546827,0.401809928
t_119,130.4936,31.74632,641,FALSE,26.03380328,0.171485175
t_120,130.71616,31.63032,600,FALSE,33.08965542,0.184442691
t_121,130.76804,31.63454,600,FALSE,33.08965542,0.184442691
t_122,130.65932,31.67046,600,FALSE,33.08965542,0.184442691
t_123,130.71121,31.67471,600,FALSE,33.08965542,0.184442691
t_124,130.76312,31.67893,600,FALSE,33.08965542,0.184442691
t_125,130.65434,31.71484,600,FALSE,33.08965542,0.184442691
t_126,130.70626,31.71909,600,FALSE,33.08965542,0.184442691
t_127,130.75819,31.72332,157,FALSE,455.2239778,0.808169975
t_128,130.64936,31.75921,406,FALSE,110.0417572,0.283653691
t_129,130.7013,31.76347,406,FALSE,110.0417572,0.283653691
t_130,130.96601,31.74002,298,FALSE,215.9383426,0.398839172
t_131,130.80521,31.77192,317,FALSE,192.3663416,0.372577669
t_132,130.85719,31.77611,297,FALSE,217.2432701,0.400319293
t_133,130.90917,31.78029,776,FALSE,12.3629869,0.138917357
t_134,130.96116,31.78444,406,FALSE,110.0417572,0.283653691
t_135,130.85228,31.82052,406,FALSE,110.0417572,0.283653691
t_136,130.90429,31.8247,465,FALSE,75.73390764,0.244259225
t_137,130.95631,31.82886,776,FALSE,12.3629869,0.138917357
t_138,130.84737,31.86492,510,FALSE,57.15010516,0.220618432
t_139,130.8994,31.86911,335,FALSE,172.1267581,0.350578074
t_140,130.54551,31.75064,406,FALSE,110.0417572,0.283653691
t_141,130.59743,31.75494,258,FALSE,273.1988558,0.467497414
t_142,130.48853,31.79067,406,FALSE,110.0417572,0.283653691
t_143,130.54046,31.795,406,FALSE,110.0417572,0.283653691
t_144,130.5924,31.7993,406,FALSE,110.0417572,0.283653691
t_145,130.48345,31.83502,641,FALSE,26.03380328,0.171485175
t_146,130.5354,31.83936,510,FALSE,57.15010516,0.220618432
t_147,130.58737,31.84367,510,FALSE,57.15010516,0.220618432
t_148,130.47835,31.87937,641,FALSE,26.03380328,0.171485175
t_149,130.53033,31.88371,406,FALSE,110.0417572,0.283653691
t_150,130.75325,31.76771,206,FALSE,362.0702421,0.599104321
t_151,130.64436,31.80359,406,FALSE,110.0417572,0.283653691
t_152,130.69632,31.80785,278,FALSE,243.2728762,0.430572971
t_153,130.7483,31.81209,406,FALSE,110.0417572,0.283653691
t_154,130.80028,31.81632,406,FALSE,110.0417572,0.283653691
t_155,130.63935,31.84796,510,FALSE,57.15010516,0.220618432
t_156,130.69134,31.85223,406,FALSE,110.0417572,0.283653691
t_157,130.74334,31.85648,406,FALSE,110.0417572,0.283653691
t_158,130.79535,31.86071,406,FALSE,110.0417572,0.283653691
t_159,130.63433,31.89233,406,FALSE,110.0417572,0.283653691
t_160,130.37957,31.8263,406,FALSE,110.0417572,0.283653691
t_161,130.4315,31.83067,406,FALSE,110.0417572,0.283653691
t_162,130.37443,31.87063,641,FALSE,26.03380328,0.171485175
t_163,130.42639,31.87501,641,FALSE,26.03380328,0.171485175
t_164,130.36928,31.91496,776,FALSE,12.3629869,0.138917357
t_165,130.42126,31.91935,406,FALSE,110.0417572,0.283653691
t_166,130.36411,31.9593,641,FALSE,26.03380328,0.171485175
t_167,130.58232,31.88803,510,FALSE,57.15010516,0.220618432
t_168,130.47325,31.92372,406,FALSE,110.0417572,0.283653691
t_169,130.52525,31.92807,406,FALSE,110.0417572,0.283653691
t_170,130.57727,31.9324,641,FALSE,26.03380328,0.171485175
t_171,130.62929,31.9367,510,FALSE,57.15010516,0.220618432
t_172,130.46813,31.96807,776,FALSE,12.3629869,0.138917357
t_173,130.52016,31.97242,641,FALSE,26.03380328,0.171485175
t_174,130.5722,31.97676,406,FALSE,110.0417572,0.283653691
t_175,130.62425,31.98107,406,FALSE,110.0417572,0.283653691
t_176,130.46301,32.01241,776,FALSE,12.3629869,0.138917357
t_177,130.68634,31.89661,406,FALSE,110.0417572,0.283653691
t_178,130.73836,31.90087,406,FALSE,110.0417572,0.283653691
t_179,130.7904,31.9051,321,FALSE,187.6957274,0.367464664
t_180,130.68133,31.94099,310,FALSE,200.7824317,0.381859449
t_181,130.73338,31.94525,308,FALSE,203.2442132,0.384592879
t_182,130.78544,31.9495,510,FALSE,57.15010516,0.220618432
t_183,130.67631,31.98536,406,FALSE,110.0417572,0.283653691
t_184,130.72839,31.98964,510,FALSE,57.15010516,0.220618432
t_185,130.78047,31.99389,314,FALSE,195.9352588,0.37650232
t_186,130.67128,32.02974,314,FALSE,195.9352588,0.37650232
t_187,130.51506,32.01678,406,FALSE,110.0417572,0.283653691
t_188,130.56712,32.02112,303,FALSE,209.5107569,0.391592488
t_189,130.6192,32.02544,406,FALSE,110.0417572,0.283653691
t_190,130.45787,32.05676,776,FALSE,12.3629869,0.138917357
t_191,130.50995,32.06113,776,FALSE,12.3629869,0.138917357
t_192,130.56203,32.06548,308,FALSE,203.2442132,0.384592879
t_193,130.61413,32.06981,397,FALSE,116.5084073,0.29074817
t_194,130.50482,32.10548,641,FALSE,26.03380328,0.171485175
t_195,130.55693,32.10984,442,FALSE,87.57761797,0.258302606
t_196,130.60906,32.11417,510,FALSE,57.15010516,0.220618432
t_197,130.41612,31.96369,776,FALSE,12.3629869,0.138917357
t_198,130.41097,32.00803,776,FALSE,12.3629869,0.138917357
t_199,130.4058,32.05237,776,FALSE,12.3629869,0.138917357
t_200,130.40063,32.09671,641,FALSE,26.03380328,0.171485175
t_201,130.45272,32.1011,641,FALSE,26.03380328,0.171485175
t_202,130.44756,32.14545,641,FALSE,26.03380328,0.171485175
t_203,130.44239,32.18979,641,FALSE,26.03380328,0.171485175
t_204,131.32543,31.81293,641,FALSE,26.03380328,0.171485175
t_205,131.37751,31.81691,641,FALSE,26.03380328,0.171485175
t_206,131.4296,31.82088,274,FALSE,249.0521697,0.437504988
t_207,131.37285,31.86138,443,FALSE,87.02492123,0.25766013
t_208,131.42496,31.86536,208,FALSE,358.4013521,0.592759241
t_209,131.47708,31.86931,600,FALSE,33.08965542,0.184442691
t_210,131.36817,31.90586,387,FALSE,124.1330547,0.299038183
t_211,131.42031,31.90984,208,FALSE,358.4013521,0.592759241
t_212,131.47246,31.91379,600,FALSE,33.08965542,0.184442691
t_213,130.95144,31.87327,510,FALSE,57.15010516,0.220618432
t_214,130.84244,31.90932,510,FALSE,57.15010516,0.220618432
t_215,130.8945,31.91351,510,FALSE,57.15010516,0.220618432
