custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
s_0,141.8191,42.8739,293.2,0,222.2611837,0.406040579
s_1,142.1346,42.7608,641.3,0,25.98875226,0.171396773
s_2,142.1285,42.8714,775.5,0,12.39553562,0.139016062
s_3,142.2973,42.7275,489.1,0,65.0986192,0.231029748
s_4,141.8221,42.7655,291.9,0,223.999385,0.408033815
s_5,141.9279,42.575,160.9,0,447.7183855,0.786609827
s_6,142.2296,42.7031,487.4,0,65.79472532,0.231917905
s_7,141.7904,42.9986,173.8,0,422.8759379,0.722519012
s_8,141.4021,42.7755,641.3,0,25.98875226,0.171396773
s_9,141.8063,43.0587,175.8,0,419.0333412,0.713466084
s_10,142.0381,42.5126,248.6,0,288.136753,0.487014498
s_11,142.0543,42.4825,327.1,0,180.7645928,0.359920156
s_12,141.6057,42.6344,260.2,0,269.7820782,0.463143414
s_13,141.601,42.79,281.7,0,238.0195991,0.424344935
s_14,141.0814,42.4211,313.2,0,196.8965711,0.377562242
s_15,142.131,42.5886,448.3,0,84.15485008,0.254305281
s_16,141.6523,43.2204,199.3,0,374.4736274,0.621336813
s_17,141.0017,42.4116,325.1,0,183.0117711,0.362360982
s_18,141.5462,43.1161,149.9,0,468.8426143,0.850453806
s_19,141.3497,42.5629,405.6,0,110.3214578,0.283961977
s_20,141.0643,42.6476,405.6,0,110.3214578,0.283961977
m_21,141.6713,42.6755,150.6,0,467.5035613,0.846098664
m_22,141.4297,43.0369,242.2,0,298.6142923,0.501215194
s_23,141.5524,42.9925,266.8,0,259.7155944,0.45053377
s_24,141.6399,42.888,227.8,0,323.0511253,0.536240893
s_25,141.6635,43.3443,448.1,0,84.26136736,0.254430365
s_26,142.3688,42.3414,261,0,268.5471728,0.461579263
s_27,142.3572,42.3498,481.9,0,68.10108546,0.234836498
s_28,141.0791,42.6711,405.6,0,110.3214578,0.283961977
s_29,141.3499,42.5627,405.6,0,110.3214578,0.283961977
s_30,141.5836,43.4087,378.6,0,130.9119136,0.306357909
s_31,141.8553,43.3332,298.8,0,214.8990659,0.39766257
s_32,141.0319,42.3483,167.6,0,434.8098728,0.752028267
s_33,141.3513,43.139,146.8,0,474.7604199,0.870265997
m_34,141.3073,43.1273,150.8,0,467.1208035,0.844862142
s_35,140.9697,41.9051,207.5,0,359.3170507,0.59433346
s_36,140.7818,43.1974,600,0,33.08965542,0.184442691
s_37,142.0085,42.993,527,0,51.44814033,0.212788832
s_38,140.8064,42.0436,263.4,0,264.8667634,0.456946704
s_39,141.0025,41.7162,641.3,0,25.98875226,0.171396773
s_40,142.5643,42.2528,427.7,0,95.88532135,0.26783583
s_41,142.0085,42.9933,527,0,51.44814033,0.212788832
s_42,141.1411,41.8345,405.6,0,110.3214578,0.283961977
s_43,141.3046,43.1721,260.2,0,269.7820782,0.463143414
s_44,140.9766,42.768,405.6,0,110.3214578,0.283961977
s_45,141.5924,43.5324,641.3,0,25.98875226,0.171396773
s_46,141.8978,43.23,450.4,0,83.04475774,0.252998946
m_47,141.3069,43.0373,641.3,0,25.98875226,0.171396773
s_48,141.1651,42.9721,641.3,0,25.98875226,0.171396773
s_49,141.5171,43.2237,211.1,0,352.7473586,0.583173922
s_50,140.6958,41.8995,459.4,0,78.45583417,0.247542434
s_51,140.5633,42.0963,268.2,0,257.6160172,0.4479428
s_52,141.7754,43.1968,173,0,424.4141688,0.726201803
s_53,140.8084,42.763,290.1,0,226.4242839,0.410824685
s_54,142.4484,42.8775,513.6,0,55.88851734,0.21891492
s_55,142.3995,42.9805,521.8,0,53.12467516,0.21512686
s_56,140.8658,42.4727,305.9,0,205.8566165,0.387503425
s_57,141.9175,43.5524,302.5,0,210.1462513,0.392305829
s_58,142.8395,43.0736,409.5,0,107.6242896,0.28098318
s_59,140.9364,42.7977,405.6,0,110.3214578,0.283961977
s_60,141.909,43.5138,183.8,0,403.7211203,0.679321531
m_61,140.694,42.8572,510.4,0,57.0084399,0.220427906
s_62,140.8199,43.0842,357.3,0,149.7305766,0.326544027
s_63,141.4346,43.4001,641.3,0,25.98875226,0.171396773
